Title;Year
The spread of opinions in a model with different topologies;2007
Wind velocity and sand transport on a barchan dune;2003
Multiple invaded consolidating materials;2004
Apollonian networks: Simultaneously scale-free, small world, Euclidean, space filling, and with matching graphs;2005
Multiple invaded consolidating materials (vol E 70, art no 066150, 2004);2005
Precise calculation of the threshold of various directed percolation models on a square lattice;2005
Calculation of the separation streamlines of barchans and transverse dunes;2005
Transport of particles in fluids;2006
Three-dimensional apollonian networks;2006
Plurality voting: the statistical laws of democracy in Brazil;2006
Distribution of local fluxes in diluted porous media;2006
Periodic neural activity induced by network complexity;2006
Fiber models for the failure of composite materials;2006
Critical role of gravity in filters;2006
Aeolian transport layer;2006
Fatigue failure of disordered materials;2007
Aeolian transport of sand;2007
Computer simulation of fatigue under diametrical compression;2007
The spread of gossip in American schools;2007
Analytical approach to directed sandpile models on the Apollonian network;2007
Spreading gossip in social networks;2007
Modeling river delta formation;2007
Different topologies for a herding model of opinion;2007
Particles in fluids;2008
Finite-size effects for percolation on Apollonian networks;2008
Reply to andreotti: consistent saltation height measurements and physical assumptions;2008
Inertial capture in flow through porous media;2008
Model for erosion-deposition patterns;2008
Subcritical crack growth: The microscopic origin of Paris’ law;2008
"Thermal recovery simulation at the pore-network level; Simulacao de recuperacao termica em escala microscopica";2008
SIMULAçÃO DE RECUPERAçÃO TÉRMICA EM ESCALA MICROSCÓPICA;2008
Giant saltation on Mars;2008
Universality behind Basquin’s law of fatigue;2008
Living quicksand;2009
Fracturing the optimal paths;2009
Non-Newtonian fluid flow through three-dimensional disordered porous media;2009
Collapsing granular suspensions;2009
New efficient methods to calculate watersheds;2009
New efficient methods for calculating watersheds;2009
Simulation of birdfoot delta formation with application to the Mississippi Delta;2009
Mechanical behavior of “living quicksand”: simulation and experiment;2009
Surface drag;2009
Sand transport on Mars;2009
Ising model on the Apollonian network with node-dependent interactions;2009
Erratum: Apollonian Networks: Simultaneously Scale-Free, Small World, Euclidean, Space Filling, and with Matching Graphs [Phys. Rev. Lett. 94, 018702 (2005)];2009
How to make a fragile network robust and vice versa;2009
Crackling noise in sub-critical fracture of heterogeneous materials;2009
